ID,Name,Frame,Ex,Var,Min,Max,Dif,Neg
887,DPC.EKM2,DA,33.1873546581,178.141820003,16.9719656898,54.7185989993,37.7466333095,0.0367190850608
888,DPC.FLAMBEAU,DA,34.4025482487,183.588921857,18.0293852752,56.1364474625,38.1070621873,0.0275982844889
889,DPC.GENOA3,DA,30.2607460686,168.367300266,13.8377197999,50.0008577555,36.1631379557,1.31129378127
890,DPC.GSE_1.AZ,DA,33.253969391,221.409599546,15.8949224988,55.3450305308,39.4501080319,0.226580554251
891,DPC.GSE_2.AZ,DA,33.4156963363,223.957381096,15.8065335838,56.3789243776,40.5723907938,0.106951620479
892,DPC.JPM,DA,31.8123022397,161.89173837,16.1655253753,52.1360829164,35.9705575411,0.0627448177269
893,DPC.MCGR_1.AZ,DA,31.933802646,255.8705545,13.151150775,56.3672475341,43.216096759,0.675852512917
894,DPC.MCNEILUS2,DA,30.0567527401,247.921528468,11.7656397427,53.8085918513,42.0429521086,3.57850607577
895,DPC.NSPLOAD,DA,34.1923132595,183.180153662,17.6719799857,55.8358470336,38.1638670479,0.0339599714081
896,DPC.NSPP_1.AZ,DA,34.213852752,183.856525474,17.6878341673,55.9382487491,38.2504145818,0.0344102930665
897,DPC.NWEC.AZ,DA,34.6514656302,193.880960697,17.8434310222,56.8036240172,38.960192995,0.0321229449607
898,DPC.NWELOAD,DA,34.7908488045,188.020975934,18.5122953586,56.4973755274,37.9850801688,0.0284810126582
899,DPC.STCS_1.AZ,DA,33.0334427352,233.702132539,14.7949976515,56.5533912635,41.758393612,0.227313292626
900,DPC.STONEMAN,DA,31.8323534668,229.844694951,14.7067476769,53.7805646891,39.0738170122,0.505825589707
901,DPC.WINNEBAGO,DA,30.2595690374,253.037112253,10.3435025018,55.4033595425,45.0598570407,6.8784417441
902,DPL,DA,38.1621078269,211.314937727,22.2519030223,60.5242377948,38.2723347725,0.00354699435404
903,DUK,DA,37.7827573896,215.048277987,21.9804915311,60.3737462637,38.3932547326,0.0219561607439
904,EDDY,DA,34.8918421344,211.591834838,19.2789671206,57.1475523082,37.8685851876,0.110929923613
905,EDE,DA,34.6204173586,204.663052283,19.4622617071,56.5611690468,37.0989073398,0.0297974094985
906,EEI,DA,36.119981872,206.658245476,20.870043175,58.1351743607,37.2651311857,0.0271205579542
907,EES,DA,36.057323762,207.467063382,20.5502441541,58.1459456671,37.5957015131,0.0263101788171
908,EKPC,DA,37.8063427156,234.359243203,21.8304516772,60.9625705746,39.1321188974,0.0251212221853
909,ERCO,DA,35.5683772003,206.989237088,20.2741713716,57.6706409831,37.3964696114,0.0269910328794
910,FE,DA,32.971615893,113.056843575,21.8976112186,48.7288394584,26.8312282398,0.0
911,FMPP,DA,36.9836684933,208.424848268,21.446183992,59.3772467619,37.9310627698,0.0233809365659
912,FPC,DA,36.9836684933,208.424848268,21.446183992,59.3772467619,37.9310627698,0.0233809365659
